point_id,section,requirement,primary_ticket,ticket_title,phase,verification_id,coverage_rule
15,1. Core architecture,Hermes continues executing while Jev evaluates.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0015,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
16,1. Core architecture,"Jev’s ~500+ ms network latency treated as oversight latency, not worker latency.",T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0016,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
17,1. Core architecture,No synchronous Jev micro-controller loop around ordinary Hermes actions.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0017,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
18,1. Core architecture,No Jev → action → Jev → action requirement for every action.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0018,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
19,1. Core architecture,Jev controls important forks while touching only a small fraction of individual Hermes operations.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0019,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
20,1. Core architecture,Jev calls concentrated around decision epochs rather than tool-call epochs.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0020,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
21,1. Core architecture,"When appropriate, one Jev call can combine verification, next-state selection, uncertainty assessment, and completion assessment.",T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0021,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
22,1. Core architecture,Existing jev_assess primitive reused/expanded for multi-question control assessments.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0022,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
23,1. Core architecture,New higher-level control assessment contract.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0023,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
24,1. Core architecture,New higher-level decision epoch contract.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0024,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
25,1. Core architecture,Decision supervision separate from ordinary assistant dialogue generation.,T01,Async decision-engine foundation,Phase 1 — foundation,T01-R0025,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
26,2. Turn-level Jev admission,Every user prompt receives a unique turn_id.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0026,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
27,2. Turn-level Jev admission,The same user prompt can be sent to Hermes and the Jev admission system in parallel.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0027,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
28,2. Turn-level Jev admission,Hermes starts processing immediately.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0028,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
29,2. Turn-level Jev admission,Hermes does not wait for Jev admission before beginning work.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0029,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
30,2. Turn-level Jev admission,Dedicated Jev Turn Arbiter.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0030,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
31,2. Turn-level Jev admission,Dedicated turn-admission contract.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0031,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
32,2. Turn-level Jev admission,Suggested contract namespace: hermes/jev-turn-admission/v1.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0032,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
33,2. Turn-level Jev admission,Admission contract explicitly non-recursive.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0033,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
34,2. Turn-level Jev admission,Admission Jev call cannot cause another admission Jev call.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0034,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
35,2. Turn-level Jev admission,Turn arbiter predicts whether a meaningful decision plane exists.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0035,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
36,2. Turn-level Jev admission,Turn arbiter predicts whether a decision plane is likely to emerge before the turn completes.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0036,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
37,2. Turn-level Jev admission,Turn arbiter does not merely classify chat versus work.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0037,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
38,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of materially different actions.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0038,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
39,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of materially different strategies.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0039,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
40,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of recovery decisions.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0040,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
41,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of completion judgments.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0041,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
42,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of resource-allocation decisions.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0042,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
43,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of consequential operations.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0043,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
44,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of genuine routing choices.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0044,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
45,2. Turn-level Jev admission,Turn arbiter evaluates likelihood of meaningful human-escalation decisions.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0045,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
46,2. Turn-level Jev admission,Admission output includes OFF.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0046,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
47,2. Turn-level Jev admission,Admission output includes WATCH.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0047,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
48,2. Turn-level Jev admission,Admission output includes ON.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0048,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
49,2. Turn-level Jev admission,OFF means no active Jev nervous-system supervision.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0049,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
50,2. Turn-level Jev admission,WATCH means locally observe the event stream without routinely calling Jev.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0050,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
51,2. Turn-level Jev admission,WATCH can promote itself to active supervision when a material decision emerges.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0051,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
52,2. Turn-level Jev admission,ON immediately enables active Jev nervous-system supervision.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0052,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
53,2. Turn-level Jev admission,Admission decision logged even when result is OFF.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0053,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
54,2. Turn-level Jev admission,Admission confidence logged.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0054,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
55,2. Turn-level Jev admission,Admission probabilities logged.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0055,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
56,2. Turn-level Jev admission,Admission contract/version logged.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0056,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
57,2. Turn-level Jev admission,Admission latency logged.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0057,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
58,2. Turn-level Jev admission,Admission provider/model provenance logged.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0058,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
59,2. Turn-level Jev admission,Admission results become part of later calibration data.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0059,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
60,2. Turn-level Jev admission,False-negative turn admission measured.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0060,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
61,2. Turn-level Jev admission,False-positive turn admission measured.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0061,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
62,2. Turn-level Jev admission,WATCH mode specifically designed to mitigate admission false negatives.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0062,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
63,3. Decision-plane model,Explicit internal concept of a decision plane.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0063,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
64,3. Decision-plane model,Decision plane independent from whether the UI interaction looks conversational.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0064,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
65,3. Decision-plane model,Decision plane independent from whether tools are being used.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0065,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
66,3. Decision-plane model,Decision plane independent from whether the assistant is roleplaying.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0066,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
67,3. Decision-plane model,Decision plane independent from whether the user calls something work.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0067,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
68,3. Decision-plane model,Decision plane based primarily on accountability.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0068,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
69,3. Decision-plane model,Accountable decision defined around whether the result matters beyond producing the next conversational turn.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0069,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
70,3. Decision-plane model,Decision must belong to an active objective before becoming normally Jev-eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0070,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
71,3. Decision-plane model,Decision should have materially different alternatives.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0071,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
72,3. Decision-plane model,"Decision should be capable of changing trajectory, outcome, risk, cost, or completion state.",T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0072,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
73,3. Decision-plane model,Immediate conversational wording choices excluded by default.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0073,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
74,3. Decision-plane model,Fictional character choices excluded by default.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0074,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
75,3. Decision-plane model,Pure stylistic decisions excluded by default.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0075,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
76,3. Decision-plane model,Ordinary conversational responses excluded by default.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0076,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
77,3. Decision-plane model,Material real-world/workflow decisions eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0077,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
78,3. Decision-plane model,Material training/director decisions eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0078,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
79,3. Decision-plane model,Material engineering decisions eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0079,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
80,3. Decision-plane model,Material operational decisions eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0080,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
81,3. Decision-plane model,Material resource decisions eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0081,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
82,3. Decision-plane model,Material recovery decisions eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0082,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
83,3. Decision-plane model,Material completion decisions eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0083,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
84,4. Interaction type separate from decision context,Separate interaction_type from Jev supervision state.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0084,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
85,4. Interaction type separate from decision context,CONVERSATION interaction type.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0085,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
86,4. Interaction type separate from decision context,ROLEPLAY interaction type.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0086,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
87,4. Interaction type separate from decision context,RESEARCH interaction type.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0087,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
88,4. Interaction type separate from decision context,CREATIVE interaction type.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0088,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
89,4. Interaction type separate from decision context,OPERATIONAL interaction type.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0089,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
90,4. Interaction type separate from decision context,Separate decision_context.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0090,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
91,4. Interaction type separate from decision context,NONE decision context.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0091,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
92,4. Interaction type separate from decision context,SIMULATION decision context.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0092,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
93,4. Interaction type separate from decision context,ADVISORY decision context.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0093,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
94,4. Interaction type separate from decision context,WORK decision context.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0094,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
95,4. Interaction type separate from decision context,Potential EXTERNAL/consequential decision context.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0095,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
96,4. Interaction type separate from decision context,Conversational-looking work can still receive decision supervision.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0096,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
97,4. Interaction type separate from decision context,Operational-looking activity can still remain Jev-free if no meaningful decision exists.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0097,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
98,4. Interaction type separate from decision context,Research generally stays outside Jev unless research results control subsequent work.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0098,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
99,4. Interaction type separate from decision context,Brainstorming generally remains Jev-free.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0099,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
100,4. Interaction type separate from decision context,Moving from brainstorming to implementation may create a decision plane.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0100,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
101,4. Interaction type separate from decision context,Read-only activity does not automatically imply Jev supervision.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0101,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
102,4. Interaction type separate from decision context,Tool usage does not automatically imply Jev supervision.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0102,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
103,4. Interaction type separate from decision context,Mutation intent is a strong signal but not sufficient alone.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0103,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
104,4. Interaction type separate from decision context,External-state changes are stronger Jev candidates.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0104,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
105,4. Interaction type separate from decision context,Consequential external-state decisions receive elevated priority.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0105,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
106,5. Roleplay handling,Explicit Actor Plane.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0106,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
107,5. Roleplay handling,Explicit Director Plane.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0107,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
108,5. Roleplay handling,Roleplay dialogue stays in Actor Plane.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0108,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
109,5. Roleplay handling,Actor Plane dialogue does not become Jev decision events.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0109,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
110,5. Roleplay handling,Imaginary in-character decisions do not automatically invoke Jev.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0110,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
111,5. Roleplay handling,Roleplay transcript not continuously forwarded to Jev.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0111,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
112,5. Roleplay handling,Roleplay objectives can maintain a separate Director Plane.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0112,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
113,5. Roleplay handling,Director Plane may contain accountable real-world training objectives.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0113,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
114,5. Roleplay handling,Director Plane decisions may be Jev-eligible.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0114,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
115,5. Roleplay handling,Example director decisions include changing exercise difficulty.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0115,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
116,5. Roleplay handling,Example director decisions include switching objection categories.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0116,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
117,5. Roleplay handling,Example director decisions include repetition versus advancement.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0117,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
118,5. Roleplay handling,Example director decisions include stopping for critique.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0118,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
119,5. Roleplay handling,Simulation default Jev policy is off or observation-only.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0119,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
120,5. Roleplay handling,Optional simulation policy director_only.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0120,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
121,5. Roleplay handling,Roleplay decision scope distinguishable from fictional content.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0121,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
122,5. Roleplay handling,Jev never decides what Hermes should literally say next merely because Hermes is speaking.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0122,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
123,5. Roleplay handling,Jev supervises real decisions that occur around the roleplay when appropriate.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0123,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
124,6. Decision scope metadata,Structured decision_scope.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0124,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
125,6. Decision scope metadata,conversation scope.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0125,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
126,6. Decision scope metadata,fiction scope.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0126,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
127,6. Decision scope metadata,simulation scope.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0127,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
128,6. Decision scope metadata,advisory scope.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0128,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
129,6. Decision scope metadata,work scope.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0129,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
130,6. Decision scope metadata,external scope.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0130,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
131,6. Decision scope metadata,Default drop policy for conversation scope.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0131,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
132,6. Decision scope metadata,Default drop policy for fiction scope.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0132,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
133,6. Decision scope metadata,Default drop or director-only policy for simulation scope.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0133,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
134,6. Decision scope metadata,Advisory scope generally quiet unless materially accountable.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0134,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
135,6. Decision scope metadata,Work scope normally Jev-eligible.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0135,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
136,6. Decision scope metadata,External/consequential scope high priority.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0136,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
137,6. Decision scope metadata,Decision scope included in event receipts.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0137,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
138,6. Decision scope metadata,Decision scope included in router state.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0138,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
139,6. Decision scope metadata,Decision scope usable as a router relevance feature.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0139,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
140,7. Objective/work envelope,Persistent structured objective envelope.,T04,"Roleplay director plane, decision scope, and objective envelope",Phase 1 — foundation,T04-R0140,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.
