point_id,section,requirement,primary_ticket,ticket_title,phase,verification_id,coverage_rule,implementation_status,implementation_artifact,implementation_verification
50,2. Turn-level Jev admission,WATCH means locally observe the event stream without routinely calling Jev.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0050,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
51,2. Turn-level Jev admission,WATCH can promote itself to active supervision when a material decision emerges.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0051,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
52,2. Turn-level Jev admission,ON immediately enables active Jev nervous-system supervision.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0052,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
53,2. Turn-level Jev admission,Admission decision logged even when result is OFF.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0053,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
54,2. Turn-level Jev admission,Admission confidence logged.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0054,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
55,2. Turn-level Jev admission,Admission probabilities logged.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0055,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
56,2. Turn-level Jev admission,Admission contract/version logged.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0056,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
57,2. Turn-level Jev admission,Admission latency logged.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0057,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
58,2. Turn-level Jev admission,Admission provider/model provenance logged.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0058,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
59,2. Turn-level Jev admission,Admission results become part of later calibration data.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0059,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
60,2. Turn-level Jev admission,False-negative turn admission measured.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0060,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
61,2. Turn-level Jev admission,False-positive turn admission measured.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0061,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
62,2. Turn-level Jev admission,WATCH mode specifically designed to mitigate admission false negatives.,T02,Turn arbiter: OFF / WATCH / ON,Phase 1 — foundation,T02-R0062,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/nervous.py,60-test offline suite + compileall + release checks
63,3. Decision-plane model,Explicit internal concept of a decision plane.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0063,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
64,3. Decision-plane model,Decision plane independent from whether the UI interaction looks conversational.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0064,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
65,3. Decision-plane model,Decision plane independent from whether tools are being used.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0065,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
66,3. Decision-plane model,Decision plane independent from whether the assistant is roleplaying.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0066,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
67,3. Decision-plane model,Decision plane independent from whether the user calls something work.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0067,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
68,3. Decision-plane model,Decision plane based primarily on accountability.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0068,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
69,3. Decision-plane model,Accountable decision defined around whether the result matters beyond producing the next conversational turn.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0069,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
70,3. Decision-plane model,Decision must belong to an active objective before becoming normally Jev-eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0070,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
71,3. Decision-plane model,Decision should have materially different alternatives.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0071,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
72,3. Decision-plane model,"Decision should be capable of changing trajectory, outcome, risk, cost, or completion state.",T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0072,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
73,3. Decision-plane model,Immediate conversational wording choices excluded by default.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0073,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
74,3. Decision-plane model,Fictional character choices excluded by default.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0074,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
75,3. Decision-plane model,Pure stylistic decisions excluded by default.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0075,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
76,3. Decision-plane model,Ordinary conversational responses excluded by default.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0076,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
77,3. Decision-plane model,Material real-world/workflow decisions eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0077,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
78,3. Decision-plane model,Material training/director decisions eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0078,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
79,3. Decision-plane model,Material engineering decisions eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0079,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
80,3. Decision-plane model,Material operational decisions eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0080,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
81,3. Decision-plane model,Material resource decisions eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0081,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
82,3. Decision-plane model,Material recovery decisions eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0082,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
83,3. Decision-plane model,Material completion decisions eligible.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0083,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
84,4. Interaction type separate from decision context,Separate interaction_type from Jev supervision state.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0084,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
85,4. Interaction type separate from decision context,CONVERSATION interaction type.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0085,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
86,4. Interaction type separate from decision context,ROLEPLAY interaction type.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0086,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
87,4. Interaction type separate from decision context,RESEARCH interaction type.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0087,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
88,4. Interaction type separate from decision context,CREATIVE interaction type.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0088,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
89,4. Interaction type separate from decision context,OPERATIONAL interaction type.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0089,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
90,4. Interaction type separate from decision context,Separate decision_context.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0090,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
91,4. Interaction type separate from decision context,NONE decision context.,T03,Decision-plane and accountability semantics,Phase 1 — foundation,T03-R0091,Primary ownership exactly once; verify through declared seam or explicit gated live receipt.,IMPLEMENTED_OFFLINE_VERIFIED,hermes_jev/router.py,60-test offline suite + compileall + release checks
